Zip Code,Price,Beds,Baths,Living Space,Address,City,State,Zip Code Population,Zip Code Density,County,Median Household Income,Latitude,Longitude
46220,320000.0,3,2,1802,5822 N DEARBORN ST,Indianapolis,Indiana,36760,1209.2,Marion,127576.0,39.8676,-86.10818
89103,315000.0,1,1,615,4381 W FLAMINGO RD # 39305,Las Vegas,Nevada,51966,3079.3,Clark,65249.0,36.11236,-115.21215
92154,799000.0,3,3,1300,3622 AGOSTO ST,San Diego,California,85024,639.9,San Diego,101076.0,32.578,-116.96621
93722,809980.0,5,4,3304,6413 N PIMA AVE,Fresno,California,88116,1762.8,Fresno,93714.0,36.80003,-119.87791
37211,369900.0,2,3,1224,9022 RIGDEN MILL DR,Nashville,Tennessee,75073,1334.2,Davidson,84503.0,36.06704,-86.72345
33131,650000.0,1,2,1076,901 BRICKELL KEY BLVD APT 802,Miami,Florida,22529,17357.2,Miami-Dade,185585.0,25.76417,-80.18459
55416,194900.0,2,2,1040,3150 EXCELSIOR BLVD APT 111,Minneapolis,Minnesota,34181,1799.0,Hennepin,139346.0,44.94961,-93.34157
37208,545000.0,3,3,1548,1716 24TH AVE N,Nashville,Tennessee,19546,1567.1,Davidson,86858.0,36.17691,-86.80901
48212,180000.0,4,2,1204,12511 GALLAGHER ST,Hamtramck,Michigan,42899,3130.8,Wayne,49696.0,42.41003,-83.05601
80911,322000.0,4,2,1902,123 BRADLEY ST,Colorado Springs,Colorado,36496,1268.3,El Paso,90906.0,38.75325,-104.71955
46254,189000.0,2,2,1288,5412 SPRING CREEK PL,Indianapolis,Indiana,40540,1243.6,Marion,75238.0,39.84796,-86.26936
93727,579000.0,3,2,2270,930 S PARK CIRCLE DR,Fresno,California,79596,1398.4,Fresno,96940.0,36.75119,-119.69736
94123,7995000.0,5,7,5445,2644 FILBERT ST,San Francisco,California,26002,9272.5,San Francisco,300463.0,37.80112,-122.43645
21218,179000.0,2,2,1200,2702 MATHEWS ST,Baltimore,Maryland,47081,4198.8,Baltimore,88921.0,39.33031,-76.60235
38128,115000.0,4,2,1200,3791 BLACK FOREST DR,Memphis,Tennessee,45087,736.4,Shelby,59173.0,35.22623,-89.92612
90803,1499000.0,4,3,2628,126 ORIZABA AVE,Long Beach,California,32631,3099.7,Los Angeles,141826.0,33.76162,-118.12178
38114,94900.0,3,2,1200,1727 EUCLID AVE,Memphis,Tennessee,22580,1147.5,Shelby,43490.0,35.09648,-89.98596
23464,399400.0,4,3,2150,5513 GLEN VIEW DR,Virginia Beach,Virginia,77139,1786.9,Virginia Beach,108999.0,36.79732,-76.17899
90810,699000.0,8,5,5164,1501 W 19TH ST,Long Beach,California,37451,2211.1,Los Angeles,91053.0,33.81912,-118.22096
85208,385000.0,2,2,2175,957 S 79TH ST,Mesa,Arizona,36837,1746.9,Maricopa,76690.0,33.40301,-111.63194
85743,459900.0,3,3,2459,7372 W TYLER PL,Tucson,Arizona,30655,100.1,Pima,106193.0,32.30501,-111.18548
67219,250000.0,3,3,1879,3021 E LANNERS CT,Wichita,Kansas,12133,323.7,Sedgwick,79196.0,37.76931,-97.31643
78730,995000.0,4,4,4311,5107 GOLD CREST CT,Austin,Texas,9455,242.3,Travis,220572.0,30.36322,-97.83847
80206,2350000.0,4,4,3168,521 ADAMS ST,Denver,Colorado,25046,3903.2,Denver,151873.0,39.73041,-104.95258
21201,310000.0,4,2,1980,1105 MYRTLE AVE,Baltimore,Maryland,17773,5405.4,Baltimore,66437.0,39.29487,-76.62237
48238,69900.0,4,2,1832,4341 GLENDALE ST,Detroit,Michigan,24927,1782.4,Wayne,41081.0,42.39626,-83.14136
32223,599000.0,3,3,2280,12694 JULINGTON OAKS DR,Jacksonville,Florida,25824,866.8,Duval,120947.0,30.1549,-81.64821
19132,150000.0,3,1,1065,1604 W CLEARFIELD ST,Philadelphia,Pennsylvania,32802,5879.3,Philadelphia,48243.0,39.99649,-75.17102
78253,317390.0,4,3,2029,7312 HARVEST BAY,San Antonio,Texas,59752,430.2,Bexar,123081.0,29.46899,-98.78885
27614,347475.0,3,3,1660,11213 LOFTY HEIGHTS PL,Raleigh,North Carolina,32371,450.6,Wake,175577.0,35.94739,-78.62059
27603,403550.0,3,3,1938,316 ABBOTS MILL DRIVE,Raleigh,North Carolina,54079,406.2,Wake,111999.0,35.66408,-78.66186
27604,426990.0,4,3,2332,1817 ARAPAHOE RIDGE DR,Raleigh,North Carolina,44856,905.4,Wake,95340.0,35.82011,-78.56369
